Kanadayı ilk ziyaret eden Avrupalılar kimlerdir?,İskandinavlar,Vikingler,Türkler,İspanyollar,2,2
Kanadada kaçı eyalet bulunur?,10,12,14,16,1,2
Kanadanın başkenti neresidir?,Toronto,Montreal,Ottowa,Calgary,3,1
Kanada yüzölçümü bakımından dünyanın kaçıncı büyük ülkesidir?,1,2,3,4,2,2
Dünyanın en büyük şelalesi olan Niagara Şelalesi Kanadanın hangi şehrinde yer alır?,Toronto,Vancouver,Montreal,Ontario,4,1
Kanadada bugüne kadar kaydedilmiş en düşük sıcaklık kaç derecedir?,-70,-67,-63,-60,3,3
Kanada bayrağının simgesi nedir?,Akçaağaç Yaprağı,Çam Yaprağı,Çınar Yaprağı,Gürgen Yaprağı,1,2
Kanadanın ulusal marşı hangisidir?,God Save The Queen,The Maple Leaf Forever,The Star,O Canada,4,2
Kanadanın resmi dili hangisidir?,İngilizce,İngilizce ve Fransızca,Fransızca,Portekizce,2,3
Kanadanın nüfusunun kaçı milyondur?,32,34,36,38,4,3
