Hindistan para birimi nedir?,Rupi,Dolar,Euro,Yen,1,1
Hindistanın ulusal hayvanı olarak bilinen hayvan hangisidir,Maymun,Kobra Yılanı,Fil,Bengal Kaplanı,4,2
Hindistanın en populer sporu nedir?,Futbol,Basketbol,Kriket,Hokey,3,3
Orjinal ismi Chaturanga olan ve hindistanda doğan oyun hangisidir?,Tavla,Dama,Satranç,Mancala,3,1
1951 yapımı Hint filmi olan Avare'de dünya çapında üne kavuşmuş olan aktör kimdir?,Raj Kapoor,Amitabh Bachchan,Ajay Devgan,Aamir Khan,1,2
Renklerin Bayramı olarak geçen ve baharın gelişinin kutlandığı bayram hangisidir?,Karva Chauth,Navratri,Diwali,Holi,4,3
Kast sisteminde göre Hinduların akil insanlardan oluşan grubu hangisidir?,Vaishya,Kshatriya,Shudra,Brahminler,4,3
Kast sisteminde göre Hindularınkast sisteminde bir sınıf olmaya bile layık görülmeyen grubu hangisidir?,Dalit,Vaishya,Kshatriya,Shudra,1,3
Pakistanı Müslümanlara ayrı bir devlet olarak bırakmayı kabul eden kişi kimdir?,Mahatma Gandhi,Jawaharlal Nehru,Rajiv Gandhi,Abraham Nehru,2,3
Hindistanın kaç resmi dili vardır?,20,22,23,21,2,3
