Amerikanın Hiroşima ve Nagasaki kentlerine atom bombalarını hangi yıl atmıştır?,1944,1945,1946,1947,2,2
Japonyada kaç milyon insan yaşamaktadır?,114,121,127,133,3,2
Japonyanın büyük bölümünde dini inanç hangisidir?,Şinto,Budizm,Şamanizm,Teoizm,1,2
Japonların geleneksel kıyafeti hangisidir?,Sari,Anorak,Kilt,Kimono,4,2
Japonların milli sporu hangisidir?,Sumo,Tekvando,Rugby,Satranç,1,1
Japonya kaç adadan oluşur?,7200,6800,6100,5300,2,3
Japonyada okuma yazma bilme oranı kaçtır?,70,80,90,100,4,1
Japonyada işsizlik oranı yüzde kaçtır?,2,3,4,5,3,2
Japonyanın para birimi hangisidir?,Dirhem,Rupi,Yen,Renminbi,3,1
Japonyanın başkenti hangisidir?,Tokyo,Hiroşima,Nagasaki,Osaka,1,1
