Turkiye'nin bayraginin renkleri nelerdir,kırmızı-sarı,kırmızı-mavi,kırmızı-beyaz,beyaz-bordo,3,*
Turkiye'nin bayraginin renkleri nelerdir,kırmızı-sarı,kırmızı-mavi,kırmızı-beyaz,beyaz-bordo,3,*
Anayasamıza göre ülkemizde milletvekilliği seçimleri kaç yılda bir yapılmalıdır?,4,5,3,2,2,*
Çanakkale'nin Antik Çağdaki Adı Nedir?,Dardanel,Assos,Troya,Gelibolu,1,*
Güneydoğu Anadolu bölgesinde kaç il vardır?,10,6,7,8,3,*
İstanbul Atatürk Hava Limanının eski adı nedir?,Küçükçekmece Havalimanı,Zeytinburnu Havalimanı,Yeşilköy Havalimanı,Bakırköy Havalimanı,3,*
Mevlana'yı anma törenleri hangi ilimizde düzenlenmektedir?,Sivas,Çorum,Kayseri,Konya,4,*
Tarihi evleriyle ünlü Safranbolu ilçesi hangi ilimize bağlıdır?,Karabük,Amasra,Bartın,Kastamonu,1,*
Travertenleri ile meşhur olan ilimiz hangisidir?,Çanakkale,Muğla,Afyon,Denizli,4,*
Ülkemiz NATO'ya hangi yıl katılmıştır?,1952,1970,1968,1923,1,*
Ülkemizin uluslararası telefon kod numarası kaçtır?,01,90,30,9,2,*
