Amerika bayrağındaki 50 yıldız neyi simgelemektedir?,50 lider,50 eyalet,50 inanç,50 kural,2,2
Amerikanın resmi kuruluş tarihi hangisidir?,1776,1777,1778,1779,1,3
İngilizceden sonra %12 oranında kullanılan dil hangisidir?,Fransızca,Türkçe,İspanyolca,Çince,3,3
Amerikadaki sinema sektörünün en geliştiği yer olan Hollywood hangi şehirdedir?,New York,San Francisco,Las Vegas,Los Angeles,4,2
Tüm dünya tarafından takip edilen Amerikan Basketbol Liginin adı nedir?,NBA,FBA,ABA,USA,1,1
Amerikanın başkenti aşağıdakilerden hangisidir?,New York,Washington,Las Vegas,Los Angeles,2,1
Uzay çalışmalarının yapıldığına inanılan 51. bölge Amerikanın hangi şehrinde bulunmaktadır?,Las Vegas,New York, Los Angeles,Washington,1,3
Amerikada köleliği kaldıran başkan hangisidir?,Abraham Lincoln,Andrew Johnson,James A. Garfield,Benjamin Harrison,1,2
100 Amerika Doları üzerinde kimin resmi vardır?,George Washington,Abraham Lincoln,Benjamin Franklin,Alexander Hamilton,3,2
Dönemin başkanı Harry Truman tarafından istihbarat toplamak amacıyla kurulan CIA hangi yıl kurulmuştur?,1927,1937,1947,1957,3,3
