Çinin nüfusu kaç milyardır?,1.3,1.4,1.5,1.6,2,2
Çinde halkın %74ünün inandığı dini inanç hangisidir?,Budizm,Teoizm,Ateizm,Konfüçyüsizm,3,1
Çin mutfağında en çok kullanılan malzeme hangisidir?,Pirinç,Buğday,Soya,Et,1,2
Yaz olimpiyatları ne zaman Çinde düzenlenmiştir?,2004,2008,2012,2014,2,3
Çin yazı dilinde kaç karakter bulunur?,50 bin,56 bin,62 bin,70 bin,2,2
Çinin kaç komşusu vardır?,15,16,17,18,3,3
Çinin yönetim şekli hangisidir?,Tek Partili Sistem,Cumhuriyet,Kraliyet,Saltanat,1,1
Çin bayrağındaki 5 yıldızdan en büyüğü neyi ismgelemektedir?,Çin Komünist Partisi,Özgürlük,Devrim,Halk,1,3
Çinde kaç milyon insan mağaralarda yaşamaktadır?,10,20,30,40,3,3
Şangay şehrinde görülen dünyanın en uzun trafiği kaç kilometreye ulaşmıştır?,79,89,99,109,3,3
